level,length,count
0,548630.839102,2908
2,806837.208934,3759
4,1179078.953438,5411
6,1786466.986289,8107
8,2761462.146849,12015
10,4364731.953429,17846
12,6544385.461623,25296
14,9375750.916291,34797
16,12796686.678864,44077
18,16577729.940344,52577
20,20070396.372424,60925
22,23367178.416892,67678
24,26640594.276417,73442
26,28885964.34182,79289
28,31836402.255799,85703
30,34019464.783343,94162
32,37648266.148785,104727
34,41880223.464448,119703
36,47279113.937866,136492
38,55107479.265774,152213
40,62364177.312388,164624
42,66112160.04032,169281
44,70541074.724331,168463
46,67731325.301111,163618
48,56731724.331125,154604
50,48149921.500162,139051
52,36674958.229376,117978
54,28116472.040666,94196
56,21016470.579063,71567
58,15671819.443807,53608
60,11931240.892541,40076
62,9364968.7554,30859
64,7247605.787433,24237
66,5776037.826366,19595
68,4616537.120096,15706
70,3687304.189374,12529
72,2997304.229462,9932
74,2358574.273176,7992
76,1871992.873035,6340
78,1482869.032228,5017
80,1188119.164013,4020
82,953735.640338,3267
84,771673.347268,2566
86,633307.075667,2033
88,523730.884177,1671
90,436559.831869,1351
92,368226.862748,1134
94,311380.262541,921
96,262942.737681,782
98,223294.195883,686
100,190618.633917,572
102,163496.187111,512
104,138957.54938,432
106,118863.667009,372
108,100799.025374,333
110,85284.500763,291
112,72389.739924,245
114,62551.918164,209
116,53729.335621,182
118,45917.120457,155
120,39634.690288,136
122,34204.649542,121
124,29638.809475,106
126,25406.593263,103
128,21127.72738,89
130,17964.241159,70
132,15153.852046,58
134,12650.080525,53
136,10106.027131,48
138,7565.615847,43
140,5865.655456,27
142,4919.199142,20
144,4313.331029,18
146,3436.099827,21
148,2257.952076,15
150,1664.001567,11
