level,length,count
20,470049.942895,899
40,2505774.671617,1859
60,4015085.716226,2304
80,4924785.127623,2343
100,4730998.332578,1889
120,4734321.109267,1434
140,4975406.792599,1157
160,5289900.814194,1267
180,5451242.278108,1004
200,5583135.054585,909
220,5686886.869186,868
240,5726300.236269,852
260,5655484.15445,803
280,5565506.746278,756
300,5522922.054487,744
320,5417213.799517,803
340,5171249.289867,796
360,5107455.812097,765
380,5009763.931387,747
400,4984433.95521,768
420,4914871.427959,730
440,4848746.676385,726
460,4899209.644641,843
480,4947758.614187,847
500,4891862.33076,801
520,4844124.647836,793
540,4789017.842496,855
560,4712210.309219,860
580,4785581.160554,908
600,4903226.662993,913
620,5159510.002479,1208
640,5734225.429265,1410
660,6572239.748121,1737
680,8015709.832765,1995
700,8855922.445501,2347
720,8880024.06284,2453
740,9071600.011708,2445
760,9497369.203842,2550
780,10253007.22638,2501
800,10453193.50999,2776
820,10459288.59605,2881
840,9817978.430975,3131
860,9134835.910688,3101
880,8533396.596631,2941
900,7390250.609815,2671
920,5182473.920444,2317
940,5048143.557033,2078
960,3834055.876165,1523
980,2531913.124757,1223
1000,1452532.601105,857
1020,833176.117078,539
1040,497610.733458,349
1060,304956.874909,189
1080,217285.094156,132
1100,146073.11122,91
1120,82156.875724,72
1140,50751.661493,34
1160,31930.403117,24
1180,18238.212847,26
1200,9130.79777,10
1220,4883.959592,5
1240,3915.945986,4
1260,2920.985078,2
1280,1622.527387,4
1300,241.252936,2
