level,length,count
0,1694769.31804,5399
20,2197106.915527,1025
40,2222305.888766,369
60,1381359.648778,330
80,1424707.888966,342
100,1271712.703841,287
120,1252845.956951,293
140,1225642.16256,228
160,1196779.792178,209
180,1177154.138189,210
200,1166410.603127,194
220,1134284.491555,205
240,1109902.1964,197
260,1083675.115973,184
280,1060142.122992,154
300,1037285.754679,164
320,1016024.136221,144
340,998742.385758,130
360,991795.609891,206
380,1322230.97148,840
400,2244678.302484,1537
420,3696828.870325,1419
440,4451706.984156,1890
460,7188960.108289,2101
480,8583759.62855,2484
500,9606642.616239,2752
520,9651649.517223,2964
540,9648618.917373,2911
560,9223767.960478,2743
580,8613190.751348,2472
600,8221398.13755,2147
620,7574341.284497,1899
640,6942950.849368,1647
660,5068433.186149,1449
680,4541192.710708,1308
700,4038685.897733,1263
720,3531709.803296,1070
740,3135272.121499,874
760,2901993.67404,757
780,2716557.193148,653
800,2573240.94214,582
820,2402347.678463,490
840,2363253.917783,498
860,2393866.464287,448
880,2596525.206289,645
900,2921903.092868,767
920,3336471.432335,747
940,3785361.955047,781
960,4123245.546821,921
980,4332776.468666,1053
1000,4476398.263676,1005
1020,4335748.733247,979
1040,4174661.951998,979
1060,3503637.001715,1014
1080,3399812.519469,1136
1100,3531590.679557,1126
1120,3840601.256679,1235
1140,4067162.00074,1244
1160,4598880.189623,1254
1180,4529592.767897,1069
1200,4426104.59005,1100
1220,4269000.755938,1017
1240,4090281.891965,977
1260,3984907.815507,957
1280,4073345.126297,899
1300,3799593.235235,906
1320,3840197.639132,806
1340,3634084.560663,769
1360,3419322.997899,691
1380,3226668.74557,638
1400,3092490.52694,590
1420,3019469.627026,538
1440,2936301.697901,520
1460,2807035.623545,519
1480,2654085.688443,497
1500,2509985.028993,426
1520,2396830.716494,393
1540,2299390.044555,357
1560,2219707.416652,325
1580,1948400.581931,335
1600,1861292.387101,312
1620,1771506.571375,260
1640,1370600.976827,275
1660,1251392.549991,221
1680,1146182.004691,177
1700,1096990.266605,207
1720,1033525.716204,193
1740,954609.740857,188
1760,879830.322664,159
1780,825624.255275,144
1800,769541.467418,141
1820,712803.284483,124
1840,662861.559045,119
1860,616715.968031,108
1880,579407.743087,99
1900,546096.166947,84
1920,508171.240056,79
1940,467310.060285,72
1960,425079.997901,66
1980,397813.401837,59
2000,372464.16567,57
2020,351892.930823,55
2040,324643.086362,47
2060,297211.737092,46
2080,281352.360561,49
2100,258988.05453,42
2120,234980.924085,52
2140,220461.107187,34
2160,204053.321193,39
2180,189723.668268,24
2200,178000.803202,23
2220,168650.95501,32
2240,156790.455938,27
2260,144256.077256,26
2280,135968.825368,21
2300,128926.281859,21
2320,126939.233229,20
2340,122400.879925,16
2360,153241.483601,22
2380,153339.463706,24
2400,149697.26386,34
2420,141087.348841,32
2440,130751.456923,30
2460,97879.747789,31
2480,78551.341075,28
2500,68610.627444,30
2520,58101.474731,30
2540,47207.889949,23
2560,37408.18194,23
2580,28797.845253,21
2600,20713.33465,15
2620,15143.959982,15
2640,10033.724133,12
2660,6166.209906,8
2680,4215.418972,4
2700,3259.04261,2
2720,2649.115617,2
2740,2206.462548,2
2760,1456.494739,2
2780,558.432638,1
2790,253.985155,2
