level,length,count
20,129209.15115,2955
40,22838656.115546,112353
60,23088022.454335,175356
80,7229061.921471,42188
100,2553214.070579,12506
120,1236487.864973,2961
140,1075778.774438,1015
160,902387.649703,550
180,787281.775411,430
200,710566.693287,305
220,653171.022599,236
240,622075.169243,211
260,560354.297973,210
280,548128.780994,160
300,555445.951767,250
320,532482.706023,191
340,541097.298579,199
360,541441.247632,258
380,522775.739017,255
400,512264.83897,240
420,493918.276323,210
440,480686.480211,214
460,470284.676957,266
480,452839.606842,265
500,452230.756042,319
520,459191.38943,370
540,477072.353047,411
560,449942.09543,390
580,443420.066559,398
600,435708.737787,388
620,434527.213702,371
640,437946.800024,381
660,454581.6381,365
680,470326.796286,381
700,471503.118884,464
720,521529.645054,473
740,564133.648043,487
760,604318.923579,519
780,700176.646716,573
800,787009.378011,694
820,975003.501906,747
840,884130.359218,712
860,672002.306892,625
880,529963.646332,560
900,423123.71743,431
920,373785.586327,387
940,352297.910543,363
960,330077.162608,345
980,319964.921606,332
1000,322274.499833,292
1020,327843.839478,383
1040,349443.072064,399
1060,408439.159453,428
1080,477408.032818,597
1100,500290.279123,936
1120,452553.489709,504
1140,395365.014812,398
1160,331374.346954,235
1180,292587.12978,212
1200,260903.461047,187
1220,249784.47059,208
1240,295711.496899,266
1260,178879.089378,205
1280,125245.359705,83
1300,83034.276977,130
1320,93268.695641,65
1340,73935.650246,48
1360,61489.91899,25
1380,56807.061773,16
1400,51272.801067,18
1420,45751.819947,20
1440,43420.653295,16
1460,39728.776163,14
1480,38233.066821,16
1500,29359.61463,22
1520,22385.274855,23
1540,15053.423707,15
1560,11722.57473,12
1580,10306.98598,14
1600,9299.675962,14
1620,9103.00758,14
1640,8859.948728,21
1660,5494.187981,12
1680,3875.079845,10
1700,2015.242611,7
1720,1833.426812,5
1740,1377.142061,4
1750,1275.509587,2
