level,length,count
0,3850.581598,48
20,284539.980706,654
40,1367626.532188,1428
60,2659276.082707,1784
80,3016509.638789,1795
100,2828967.619991,1461
120,2666176.863973,1083
140,2669266.660221,826
160,2791212.340599,792
180,2867369.396661,636
200,2903490.974535,620
220,2912834.598919,590
240,2914563.300032,560
260,2899936.404053,521
280,2869543.650777,496
300,2849832.518414,464
320,2823223.257586,464
340,2781046.876843,472
360,2712801.309932,459
380,2658577.290984,401
400,2628805.754157,417
420,2605455.866677,422
440,2562236.548195,423
460,2577762.709309,467
480,2589585.170569,500
500,2561653.78168,483
520,2558622.91622,458
540,2548943.536917,519
560,2573353.21138,537
580,2569856.085001,553
600,2594582.086467,579
620,2686505.00799,714
640,3044248.122435,921
660,3568116.541373,1205
680,4332083.473763,1500
700,4935356.788956,1649
720,5062819.413591,1862
740,5047631.435158,1834
760,5196266.941342,1918
780,5430352.242671,1957
800,5561282.966267,1989
820,5693849.441425,2171
840,5729652.253214,2357
860,5573050.591348,2354
880,5207502.432393,2280
900,4681488.904191,2092
920,4065274.251234,1789
940,3377366.620295,1542
960,2667876.467378,1216
980,1900291.531033,1032
1000,1205224.219892,695
1020,721903.252107,486
1040,400627.915038,285
1060,233760.452285,154
1080,159611.150055,94
1100,106134.634121,63
1120,64835.353711,44
1140,40801.937274,26
1160,25475.093002,24
1180,13130.793765,15
1200,7018.948311,10
1220,4455.060053,3
1240,3522.375304,4
1260,2417.63794,1
1280,1364.033556,3
