level,length,count
2,1637.077461,106
4,8382.608534,264
6,25061.98176,537
8,61347.030344,1032
10,268074.458486,2171
12,703862.939751,4018
14,1587115.736534,7306
16,2818210.752517,13187
18,7170758.14968,22718
20,12056228.919621,30850
22,15320624.836191,33994
24,16277977.061009,31857
26,18238597.986781,34713
28,20270204.026364,36641
30,20734874.692197,38705
32,20549580.97437,38686
34,20648189.507704,40933
36,20722854.539554,43954
38,21335613.969523,53317
40,25735465.756736,72748
42,33826086.282888,106770
44,48483947.031592,151463
46,54297633.452799,172450
48,35233979.786315,149626
50,14321930.175025,76670
52,3839310.01427,28839
54,520818.046528,6232
56,63429.728907,833
58,19820.943122,102
60,15380.389283,21
62,14133.082013,14
64,13617.894316,18
66,12371.16741,14
68,11734.153739,9
70,10819.274703,14
72,9783.275726,13
74,8787.621271,12
76,7907.636836,12
78,6886.087271,11
80,5881.772282,11
82,4708.625584,10
84,3734.883338,7
86,3186.863967,6
88,2813.919364,4
90,2435.236135,4
92,1953.761312,4
94,1559.75702,5
96,924.98352,4
98,469.970458,1
100,314.907045,1
102,135.760848,1
