level,length,count
46,17.534118,1
48,42.037757,1
50,66.539754,1
52,91.042651,1
54,178.186379,2
56,276.70492,2
58,302.532879,2
60,328.432071,2
62,354.40068,2
64,440.007252,3
66,470.793406,3
68,505.682512,4
70,565.097113,5
72,717.205877,5
74,900.764169,5
76,1139.121844,9
78,1512.507122,11
80,1689.664549,13
82,2105.288098,20
84,2760.564888,25
86,3289.6321,26
88,3832.969411,29
90,4528.167564,33
92,5495.659873,45
94,6706.383718,53
96,8123.812305,63
98,10271.773478,79
100,13463.448208,99
102,171628.421175,824
104,1356046.664461,4769
106,3374730.428232,12520
108,6121268.266016,21421
110,11337321.214478,36435
112,16376028.201788,48075
114,18900085.654029,52845
116,20126904.825988,54572
118,19900082.994174,54339
120,19269787.098112,53144
122,19325123.644694,52375
124,19174244.871411,50501
126,17906986.374597,45991
128,17155668.073709,42949
130,15925847.013295,40094
132,14843385.182434,36141
134,13377115.274814,34217
136,10877050.282585,31878
138,9580849.30771,27237
140,5659607.499787,18167
142,2728990.294706,10513
144,1108731.704691,4957
146,360583.204731,1915
148,99584.468395,648
150,20557.359879,188
152,4871.810478,58
154,1933.42532,30
156,1136.157111,18
158,733.471231,14
160,432.641765,11
162,200.955694,5
164,51.205806,3
166,6.837119,2
