level,length,count
20,91838.593105,707
40,13076613.836977,23415
60,8667436.761904,27130
80,2902378.106489,6690
100,1389096.807053,1990
120,879921.995301,573
140,645205.948108,238
160,537803.741848,157
180,470581.54381,125
200,418075.468049,90
220,377282.507706,70
240,347486.453529,63
260,329065.500072,51
280,317580.857197,54
300,309200.672621,63
320,295400.46802,41
340,284653.036564,46
360,279906.062568,57
380,267219.294153,40
400,261138.950591,41
420,259421.013522,38
440,254659.440549,42
460,245368.309993,42
480,234208.082766,34
500,232461.938364,51
520,237029.859739,55
540,237753.140469,50
560,227905.254438,36
580,222278.321508,26
600,219753.279876,27
620,219913.97216,23
640,221503.256976,33
660,228743.974102,36
680,238057.236382,23
700,237943.650874,40
720,263195.613805,60
740,282305.78305,50
760,302324.386108,79
780,346407.508127,93
800,393094.040144,126
820,489317.91059,129
840,478205.351429,146
860,379056.657825,155
880,299618.790909,133
900,239852.816764,99
920,204872.437201,62
940,189570.850765,60
960,177380.416361,53
980,170067.000911,43
1000,166864.990994,38
1020,163550.073399,43
1040,172140.160003,64
1060,192440.070721,48
1080,216812.779947,65
1100,230808.594092,116
1120,224982.676473,82
1140,185384.18254,52
1160,155391.815694,32
1180,135301.775279,28
1200,123936.912693,31
1220,111841.054995,20
1240,128505.815621,54
1260,83588.529537,46
1280,56663.365893,10
1300,55984.984478,29
1320,48279.46232,13
1340,37675.701503,10
1360,30505.508073,7
1380,29178.480011,3
1400,27001.9403,5
1420,23489.153498,4
1440,21914.367964,3
1460,20381.395809,5
1480,20093.29932,4
1500,15512.153621,5
1520,12905.300623,7
1540,9733.301385,3
1560,8205.998162,2
1580,7749.82206,3
1600,6995.727304,2
1620,6575.486545,2
1640,5907.315257,2
1660,3841.678248,2
1680,2829.266908,2
1700,1927.051601,2
